source,spd_score,best_solint,RA,DEC
P22181/scalarphasediff0_skyselfcalcyle000_L816272_P22181_spd.ms.phaseup.h5,1.5409684065380098,107.27085527886578,244.31802,55.26303
P20075/scalarphasediff0_skyselfcalcyle000_L686962_P20075_spd.ms.phaseup.h5,1.564904180969012,111.1561274797597,244.56325,55.897484
P17565/scalarphasediff0_skyselfcalcyle000_L686962_P17565_spd.ms.phaseup.h5,1.5757781589216595,112.9540478930905,244.75253,54.493572
P17010/scalarphasediff0_skyselfcalcyle000_L816272_P17010_spd.ms.phaseup.h5,1.6018230153836477,117.3456785684488,244.83398,54.804844
P16883/scalarphasediff0_skyselfcalcyle000_L686962_P16883_spd.ms.phaseup.h5,1.627952773699559,121.87551438854872,244.87376,55.220917
P17565/scalarphasediff0_skyselfcalcyle000_L769393_P17565_spd.ms.phaseup.h5,1.6728144254485242,129.9531353665405,244.75253,54.493572
P48367/scalarphasediff0_skyselfcalcyle000_L686962_P48367_spd.ms.phaseup.h5,1.702791502293808,135.5709635310076,241.84001,53.777573
P46921/scalarphasediff0_skyselfcalcyle000_L686962_P46921_spd.ms.phaseup.h5,1.7142269341400045,137.76215901159057,241.93665,55.811535
P48367/scalarphasediff0_skyselfcalcyle000_L769393_P48367_spd.ms.phaseup.h5,1.7218002485543231,139.22825261525915,241.84001,53.777573
P20075/scalarphasediff0_skyselfcalcyle000_L769393_P20075_spd.ms.phaseup.h5,1.7474588635666293,144.28557509515107,244.56325,55.897484
P51372/scalarphasediff0_skyselfcalcyle000_L686962_P51372_spd.ms.phaseup.h5,1.8117959655129856,157.60518386001635,241.49994,54.901543
P50735/scalarphasediff0_skyselfcalcyle000_L686962_P50735_spd.ms.phaseup.h5,1.8272887590169329,160.95560890226764,241.59235,54.226864
P46921/scalarphasediff0_skyselfcalcyle000_L769393_P46921_spd.ms.phaseup.h5,1.8301085510565769,161.57160550818227,241.93665,55.811535
P57108/scalarphasediff0_skyselfcalcyle000_L686962_P57108_spd.ms.phaseup.h5,1.8450186503229344,164.86100457104237,240.89687,54.08733
P51372/scalarphasediff0_skyselfcalcyle000_L769393_P51372_spd.ms.phaseup.h5,1.8782976354489656,172.40311160936088,241.49994,54.901543
P45240/scalarphasediff0_skyselfcalcyle000_L816272_P45240_spd.ms.phaseup.h5,1.8884914469704035,174.7702705269986,242.08633,56.232155
P16883/scalarphasediff0_skyselfcalcyle000_L769393_P16883_spd.ms.phaseup.h5,1.9146092332560736,180.96122706678207,244.87376,55.220917
P45240/scalarphasediff0_skyselfcalcyle000_L798074_P45240_spd.ms.phaseup.h5,1.914884001171787,181.02733924091115,242.08633,56.232155
P50735/scalarphasediff0_skyselfcalcyle000_L769393_P50735_spd.ms.phaseup.h5,1.9259183465093923,183.69952948957783,241.59235,54.226864
P51372/scalarphasediff0_skyselfcalcyle000_L798074_P51372_spd.ms.phaseup.h5,1.9529482487288603,190.3900498508148,241.49994,54.901543
P17565/scalarphasediff0_skyselfcalcyle000_L798074_P17565_spd.ms.phaseup.h5,1.9665668766641464,193.840932875088,244.75253,54.493572
P23872/scalarphasediff0_skyselfcalcyle000_L686962_P23872_spd.ms.phaseup.h5,1.9679274339892023,194.1886996101034,244.16396,55.757137
P51372/scalarphasediff0_skyselfcalcyle000_L816272_P51372_spd.ms.phaseup.h5,1.9762098506607857,196.31767530573333,241.49994,54.901543
P20075/scalarphasediff0_skyselfcalcyle000_L798074_P20075_spd.ms.phaseup.h5,1.996425855634411,201.60167596982976,244.56325,55.897484
P20075/scalarphasediff0_skyselfcalcyle000_L816272_P20075_spd.ms.phaseup.h5,2.0247605999291767,209.223322103564,244.56325,55.897484
P34557/scalarphasediff0_skyselfcalcyle000_L798074_P34557_spd.ms.phaseup.h5,2.0355630787326113,212.1975102485269,243.1207,55.110386
P34557/scalarphasediff0_skyselfcalcyle000_L686962_P34557_spd.ms.phaseup.h5,2.0406172225382027,213.60234690315627,243.1207,55.110386
P46921/scalarphasediff0_skyselfcalcyle000_L798074_P46921_spd.ms.phaseup.h5,2.0820750138206106,225.45682779320717,241.93665,55.811535
P23872/scalarphasediff0_skyselfcalcyle000_L769393_P23872_spd.ms.phaseup.h5,2.0895224501317213,227.6508834351543,244.16396,55.757137
P34557/scalarphasediff0_skyselfcalcyle000_L816272_P34557_spd.ms.phaseup.h5,2.0916832316556344,228.29125271917408,243.1207,55.110386
P57108/scalarphasediff0_skyselfcalcyle000_L798074_P57108_spd.ms.phaseup.h5,2.092395151251428,228.50261302398536,240.89687,54.08733
P37686/scalarphasediff0_skyselfcalcyle000_L798074_P37686_spd.ms.phaseup.h5,2.124987696532856,238.38278747807365,242.81935,53.73866
P50892/scalarphasediff0_skyselfcalcyle000_L686962_P50892_spd.ms.phaseup.h5,2.135761572974768,241.73897247426592,241.52518,55.900024
P17565/scalarphasediff0_skyselfcalcyle000_L816272_P17565_spd.ms.phaseup.h5,2.135943689955607,241.79609963409655,244.75253,54.493572
P46921/scalarphasediff0_skyselfcalcyle000_L816272_P46921_spd.ms.phaseup.h5,2.160582049824683,249.64880963944813,241.93665,55.811535
P57108/scalarphasediff0_skyselfcalcyle000_L816272_P57108_spd.ms.phaseup.h5,2.1614613006122325,249.9336707908541,240.89687,54.08733
P34557/scalarphasediff0_skyselfcalcyle000_L769393_P34557_spd.ms.phaseup.h5,2.1655734051851825,251.27023246800303,243.1207,55.110386
P50735/scalarphasediff0_skyselfcalcyle000_L798074_P50735_spd.ms.phaseup.h5,2.179141574229273,255.7313627188303,241.59235,54.226864
P38540/scalarphasediff0_skyselfcalcyle000_L798074_P38540_spd.ms.phaseup.h5,2.1943469696122064,260.82597472541715,242.7405,55.591095
P50735/scalarphasediff0_skyselfcalcyle000_L816272_P50735_spd.ms.phaseup.h5,2.2191090846548955,269.3458132974865,241.59235,54.226864
P50892/scalarphasediff0_skyselfcalcyle000_L769393_P50892_spd.ms.phaseup.h5,2.2532599580012276,281.5737803814724,241.52518,55.900024
P19951/scalarphasediff0_skyselfcalcyle000_L686962_P19951_spd.ms.phaseup.h5,2.256275992836744,282.6815012878606,244.50336,54.44647
P38540/scalarphasediff0_skyselfcalcyle000_L686962_P38540_spd.ms.phaseup.h5,2.258064225900548,283.3404701848302,242.7405,55.591095
P38540/scalarphasediff0_skyselfcalcyle000_L769393_P38540_spd.ms.phaseup.h5,2.25839223095106,283.46151870562863,242.7405,55.591095
P37686/scalarphasediff0_skyselfcalcyle000_L816272_P37686_spd.ms.phaseup.h5,2.2666082463551627,286.51170718710546,242.81935,53.73866
P31933/scalarphasediff0_skyselfcalcyle000_L686962_P31933_spd.ms.phaseup.h5,2.2705521766055123,287.98837580223875,243.36592,55.866123
P17645/scalarphasediff0_skyselfcalcyle000_L686962_P17645_spd.ms.phaseup.h5,2.28263721691212,292.5645597481786,244.74753,54.879543
P16883/scalarphasediff0_skyselfcalcyle000_L816272_P16883_spd.ms.phaseup.h5,2.2895553878563875,295.21969025730687,244.87376,55.220917
P31933/scalarphasediff0_skyselfcalcyle000_L798074_P31933_spd.ms.phaseup.h5,2.3020383981049983,300.0774554306707,243.36592,55.866123
P23872/scalarphasediff0_skyselfcalcyle000_L798074_P23872_spd.ms.phaseup.h5,2.3025024369820266,300.25972122345166,244.16396,55.757137
P31933/scalarphasediff0_skyselfcalcyle000_L769393_P31933_spd.ms.phaseup.h5,2.3410874101492434,315.8551652453453,243.36592,55.866123
P16883/scalarphasediff0_skyselfcalcyle000_L798074_P16883_spd.ms.phaseup.h5,2.3442002098247925,317.1525037481497,244.87376,55.220917
P38540/scalarphasediff0_skyselfcalcyle000_L816272_P38540_spd.ms.phaseup.h5,2.3547453413149992,321.5928080716144,242.7405,55.591095
P58902/scalarphasediff0_skyselfcalcyle000_L686962_P58902_spd.ms.phaseup.h5,2.359651489635518,323.6829088384436,240.63585,54.901848
P41028/scalarphasediff0_skyselfcalcyle000_L686962_P41028_spd.ms.phaseup.h5,2.3600253776402567,323.8428308624811,242.49542,55.007393
P29603/scalarphasediff0_skyselfcalcyle000_L769393_P29603_spd.ms.phaseup.h5,2.3717400208219264,328.9000329019781,243.58961,55.614105
P23872/scalarphasediff0_skyselfcalcyle000_L816272_P23872_spd.ms.phaseup.h5,2.3884762780083384,336.28539334707745,244.16396,55.757137
P31933/scalarphasediff0_skyselfcalcyle000_L816272_P31933_spd.ms.phaseup.h5,2.402320582687016,342.54241911152,243.36592,55.866123
P41028/scalarphasediff0_skyselfcalcyle000_L769393_P41028_spd.ms.phaseup.h5,2.406047285129812,344.25028282406635,242.49542,55.007393
P41028/scalarphasediff0_skyselfcalcyle000_L816272_P41028_spd.ms.phaseup.h5,2.411308720355037,346.6788377535132,242.49542,55.007393
P48367/scalarphasediff0_skyselfcalcyle000_L798074_P48367_spd.ms.phaseup.h5,2.4217831888855836,351.57516850248265,241.84001,53.777573
P58902/scalarphasediff0_skyselfcalcyle000_L798074_P58902_spd.ms.phaseup.h5,2.433549916842168,357.17578309032183,240.63585,54.901848
P23167/scalarphasediff0_skyselfcalcyle000_L769393_P23167_spd.ms.phaseup.h5,2.44713586767955,363.7785996447768,244.16821,53.970383
P19951/scalarphasediff0_skyselfcalcyle000_L769393_P19951_spd.ms.phaseup.h5,2.484092744750221,382.5239792421577,244.50336,54.44647
P17340/scalarphasediff0_skyselfcalcyle000_L686962_P17340_spd.ms.phaseup.h5,2.5129748057765644,398.03664736649,244.83209,55.5991
P29603/scalarphasediff0_skyselfcalcyle000_L686962_P29603_spd.ms.phaseup.h5,2.5213509406117636,402.6880948925332,243.58961,55.614105
P50892/scalarphasediff0_skyselfcalcyle000_L798074_P50892_spd.ms.phaseup.h5,2.532688667487723,409.0991376641263,241.52518,55.900024
P52695/scalarphasediff0_skyselfcalcyle000_L686962_P52695_spd.ms.phaseup.h5,2.539293632614842,412.8966828948364,241.31435,55.93092
P18696/scalarphasediff0_skyselfcalcyle000_L686962_P18696_spd.ms.phaseup.h5,2.5831554338046816,439.369583075973,244.63739,54.529552
P45283/scalarphasediff0_skyselfcalcyle000_L769393_P45283_spd.ms.phaseup.h5,2.6007133018739945,450.62735196673657,242.11804,54.1753
P99999/scalarphasediff0_skyselfcalcyle000_L686962_P99999_spd.ms.phaseup.h5,2.6090547940131636,456.1193698715947,244.0989,55.451298
P51570/scalarphasediff0_skyselfcalcyle000_L686962_P51570_spd.ms.phaseup.h5,2.6136427458560876,459.1809911706413,241.47095,55.17634
P48367/scalarphasediff0_skyselfcalcyle000_L816272_P48367_spd.ms.phaseup.h5,2.6238988785009525,466.1332061841072,241.84001,53.777573
P41028/scalarphasediff0_skyselfcalcyle000_L798074_P41028_spd.ms.phaseup.h5,2.627840907655091,468.846049130751,242.49542,55.007393
P47136/scalarphasediff0_skyselfcalcyle000_L686962_P47136_spd.ms.phaseup.h5,2.6306810548547297,470.8149093250202,241.93552,54.83945
P23167/scalarphasediff0_skyselfcalcyle000_L686962_P23167_spd.ms.phaseup.h5,2.6338558336130986,473.0301193619073,244.16821,53.970383
P19951/scalarphasediff0_skyselfcalcyle000_L816272_P19951_spd.ms.phaseup.h5,2.6426920440705075,479.27706366113966,244.50336,54.44647
P58902/scalarphasediff0_skyselfcalcyle000_L769393_P58902_spd.ms.phaseup.h5,2.657422668289134,489.96725016501733,240.63585,54.901848
P52695/scalarphasediff0_skyselfcalcyle000_L769393_P52695_spd.ms.phaseup.h5,2.6731752819918557,501.801847889136,241.31435,55.93092
P58902/scalarphasediff0_skyselfcalcyle000_L816272_P58902_spd.ms.phaseup.h5,2.676548662762595,504.3928900406284,240.63585,54.901848
P20753/scalarphasediff0_skyselfcalcyle000_L769393_P20753_spd.ms.phaseup.h5,2.683082618789653,509.47049604036545,244.50775,56.247852
P29603/scalarphasediff0_skyselfcalcyle000_L816272_P29603_spd.ms.phaseup.h5,2.6974688025838027,520.9341552161172,243.58961,55.614105
P57537/scalarphasediff0_skyselfcalcyle000_L798074_P57537_spd.ms.phaseup.h5,2.7015753260159414,524.2807843175433,240.81688,54.53334
P34797/scalarphasediff0_skyselfcalcyle000_L798074_P34797_spd.ms.phaseup.h5,2.701803497918266,524.4677293625954,243.10345,55.910316
P36710/scalarphasediff0_skyselfcalcyle000_L816272_P36710_spd.ms.phaseup.h5,2.709329303093918,530.693536243658,242.90912,53.991398
P43350/scalarphasediff0_skyselfcalcyle000_L798074_P43350_spd.ms.phaseup.h5,2.710804877890119,531.9280232181331,242.28497,53.90706
